Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,month,day,Total_power_use
0.288,0.08,243.14,1.2,0,0,0,3,15,0
0.32,0.0,240.81,1.4,0,0,0,4,13,0
0.224,0.0,243.29,1.0,0,0,0,3,28,0
0.2,0.096,237.5,1.0,0,0,0,7,28,0
0.32,0.098,241.88,1.4,0,0,0,2,22,0
2.114,0.116,245.92,8.6,0,0,0,3,19,0
0.42,0.116,242.27,2.0,0,0,1,6,16,1
2.442,0.112,233.46,10.4,0,35,0,5,18,35
1.384,0.18,239.65,5.8,0,2,18,6,14,20
0.28,0.046,242.62,1.2,0,0,0,4,4,0
0.454,0.116,241.49,2.0,0,0,0,4,18,0
1.484,0.11,243.44,6.0,0,1,18,3,15,19
2.35,0.084,242.23,9.6,0,0,18,11,12,18
0.39,0.388,242.62,2.2,0,1,0,7,5,1
0.08,0.0,240.86,0.2,0,0,1,8,6,1
1.554,0.0,240.4,6.4,0,2,1,10,19,3
1.306,0.102,239.14,5.4,0,0,18,8,6,18
0.296,0.066,241.23,1.2,0,0,0,9,30,0
2.194,0.348,243.38,9.0,0,0,19,7,30,19
1.03,0.0,236.66,4.2,0,0,1,3,16,1
0.246,0.0,243.01,1.0,0,0,1,7,20,1
0.432,0.094,241.14,1.8,0,1,0,1,26,1
3.02,0.0,236.13,12.8,0,2,17,9,16,19
0.26,0.0,243.01,1.0,0,0,1,4,25,1
0.702,0.152,240.21,3.0,0,0,1,5,28,1
2.126,0.25,238.84,8.8,1,1,28,5,6,30
1.436,0.062,244.43,5.8,0,0,19,1,25,19
1.002,0.126,239.7,4.2,0,0,0,7,17,0
1.052,0.0,242.42,4.4,0,1,1,4,11,2
1.47,0.074,240.11,6.0,0,0,1,2,12,1
0.244,0.246,241.81,1.4,0,1,1,8,9,2
1.282,0.0,238.38,5.4,1,0,0,1,28,1
3.896,0.198,239.02,16.2,38,0,1,9,19,39
1.89,0.14,239.37,7.8,0,1,18,3,26,19
1.372,0.076,242.23,5.6,0,0,18,12,30,18
2.572,0.518,239.42,10.8,0,0,18,5,24,18
0.166,0.0,241.05,0.6,0,0,1,7,10,1
0.262,0.064,244.56,1.2,0,0,0,10,25,0
0.362,0.134,247.17,1.6,0,0,0,1,5,0
0.48,0.344,244.28,2.4,0,2,0,3,13,2
0.652,0.322,239.57,3.0,0,0,0,6,13,0
1.188,0.0,238.59,4.8,0,0,18,7,10,18
0.614,0.256,241.29,3.0,0,1,3,10,1,4
0.824,0.28,239.74,3.6,0,1,11,8,10,12
0.102,0.0,241.53,0.4,0,0,0,6,14,0
0.544,0.0,240.89,2.2,0,0,0,8,23,0
4.084,0.088,239.6,17.0,0,0,17,1,12,17
0.308,0.0,241.94,1.4,0,0,1,4,29,1
0.38,0.0,239.22,1.6,0,0,0,7,1,0
0.158,0.0,243.26,0.6,0,0,1,8,5,1
1.566,0.0,241.19,6.4,0,0,19,6,25,19
0.244,0.122,242.29,1.0,0,0,1,9,3,1
5.036,0.588,237.19,21.4,1,0,17,12,1,18
0.102,0.0,234.62,0.4,0,0,0,8,10,0
0.328,0.072,235.87,1.4,0,0,0,5,29,0
0.452,0.22,241.99,2.0,0,2,1,5,18,3
0.546,0.252,245.78,2.4,0,0,0,3,30,0
0.406,0.23,242.3,1.8,0,1,0,10,6,1
0.368,0.148,242.85,1.6,0,0,0,2,16,0
0.676,0.196,241.58,3.0,0,0,1,6,22,1
1.338,0.0,241.35,5.4,0,0,19,9,24,19
1.57,0.258,243.47,6.4,0,0,19,3,12,19
0.664,0.072,237.7,2.8,0,2,0,1,22,2
3.548,0.0,238.07,14.8,38,0,18,12,28,56
0.414,0.072,247.85,1.6,0,0,0,1,1,0
0.428,0.212,242.75,2.0,0,4,0,8,29,4
0.214,0.0,240.66,0.8,0,0,0,2,27,0
0.428,0.0,239.94,1.8,0,0,1,3,4,1
0.268,0.11,240.85,1.2,0,0,0,7,5,0
0.158,0.0,239.96,0.6,0,0,1,8,9,1
1.302,0.0,242.03,5.4,0,0,18,12,4,18
1.328,0.094,242.03,5.4,0,0,0,11,24,0
0.282,0.104,241.95,1.2,0,0,0,1,25,0
1.622,0.046,236.97,6.8,0,0,17,10,18,17
0.13,0.0,242.71,0.6,0,0,0,6,29,0
1.708,0.062,240.65,7.2,1,2,19,5,31,22
0.462,0.064,241.69,2.0,0,0,0,7,7,0
1.282,0.096,237.79,5.4,0,0,18,7,25,18
0.832,0.152,242.4,3.4,0,0,12,9,27,12
0.372,0.09,245.3,1.6,0,0,0,2,20,0
2.014,0.344,238.27,8.4,0,1,27,3,26,28
0.32,0.088,244.29,1.4,0,0,0,3,26,0
0.302,0.144,240.08,1.4,0,0,1,6,8,1
0.232,0.0,240.72,1.0,0,0,0,3,29,0
0.302,0.22,238.12,1.4,0,0,1,6,17,1
2.956,0.26,244.7,12.2,0,27,19,2,4,46
0.21,0.0,237.65,0.8,0,0,0,2,26,0
0.398,0.17,239.14,1.8,0,0,0,4,26,0
1.792,0.062,241.0,7.4,2,0,18,8,30,20
0.29,0.066,240.74,1.2,0,0,1,11,28,1
1.312,0.0,240.13,5.4,0,0,18,5,19,18
0.32,0.07,243.38,1.4,0,0,0,1,1,0
0.97,0.19,239.95,4.2,0,0,12,7,25,12
3.832,0.0,236.7,16.0,36,0,17,3,30,53
1.47,0.178,238.59,6.2,0,1,1,10,8,2
0.418,0.0,243.23,1.6,0,0,0,12,24,0
0.478,0.188,241.48,2.2,0,1,0,1,22,1
0.378,0.218,241.06,1.8,0,0,0,7,25,0
2.754,0.046,238.82,11.4,0,0,17,3,14,17
1.122,0.0,232.81,4.8,0,0,17,5,4,17
0.132,0.0,244.17,0.6,0,0,1,7,12,1
3.426,0.0,231.54,14.8,36,0,16,5,16,52
0.406,0.186,245.52,1.8,0,0,0,12,25,0
1.514,0.108,242.06,6.2,0,2,19,6,11,21
0.348,0.156,238.76,1.6,1,0,1,8,9,2
0.252,0.084,239.55,1.2,0,0,0,9,15,0
0.226,0.052,245.88,1.0,0,0,0,1,31,0
1.488,0.0,240.33,6.2,0,0,18,5,16,18
0.582,0.122,242.96,2.4,0,0,0,11,30,0
1.662,0.228,240.57,6.8,1,0,18,12,9,19
0.202,0.14,241.73,1.0,0,0,0,6,18,0
2.258,0.17,237.59,9.4,0,1,18,10,25,19
0.284,0.202,236.46,1.4,0,0,0,7,22,0
0.384,0.096,241.83,1.6,0,0,0,3,31,0
1.214,0.0,238.93,5.0,0,0,18,9,3,18
0.986,0.05,241.2,4.2,0,0,0,1,29,0
0.234,0.0,243.76,1.0,0,0,0,6,11,0
0.122,0.0,238.78,0.6,0,0,0,4,18,0
0.32,0.09,241.7,1.4,0,0,1,7,18,1
0.228,0.0,243.2,1.0,0,0,0,2,6,0
1.274,0.084,240.42,5.2,0,0,18,6,17,18
0.304,0.1,237.39,1.4,0,0,0,10,16,0
4.3,0.174,238.41,18.0,1,0,18,11,25,19
2.432,0.074,236.91,10.2,0,36,0,10,3,36
0.328,0.118,246.09,1.4,0,0,0,3,19,0
0.212,0.11,237.15,1.0,0,0,0,7,22,0
0.24,0.0,233.05,1.0,0,0,0,6,5,0
0.338,0.1,243.75,1.4,0,0,1,4,30,1
0.172,0.144,237.83,0.8,0,0,0,8,29,0
0.218,0.0,250.75,0.8,0,0,0,12,29,0
1.818,0.074,238.95,7.6,0,0,18,11,18,18
0.604,0.0,240.96,2.6,0,0,0,11,8,0
0.988,0.468,241.31,4.6,0,2,0,9,4,2
5.674,0.0,236.22,24.0,0,73,17,10,25,90
1.442,0.184,241.07,6.0,0,0,0,8,24,0
1.214,0.052,233.16,5.2,0,1,17,4,30,18
1.35,0.0,241.96,5.6,0,0,19,2,24,19
0.304,0.254,241.28,1.6,0,1,1,7,13,2
1.394,0.196,242.75,6.0,0,0,17,4,30,17
0.32,0.08,243.16,1.4,0,0,1,10,13,1
0.266,0.126,240.41,1.2,0,0,0,8,20,0
0.672,0.436,240.77,3.6,2,1,0,9,27,3
0.324,0.11,243.15,1.4,0,0,0,3,12,0
0.362,0.082,242.47,1.4,0,1,1,4,22,2
1.544,0.0,243.04,6.4,0,0,0,7,9,0
1.382,0.21,241.17,5.8,0,0,0,4,30,0
0.366,0.0,243.09,1.6,0,0,0,3,25,0
2.804,0.192,239.98,11.6,0,0,18,12,22,18
0.486,0.196,240.01,2.2,0,0,0,2,1,0
2.304,0.392,242.78,10.0,0,0,19,6,1,19
0.38,0.236,243.1,1.8,0,0,1,6,18,1
0.348,0.08,242.25,1.4,0,0,1,3,3,1
0.156,0.0,242.28,0.6,0,0,1,6,27,1
0.512,0.228,243.4,2.4,2,2,0,9,9,4
0.27,0.0,248.12,1.2,0,0,0,2,9,0
0.546,0.274,243.12,2.4,2,2,0,7,5,4
0.206,0.0,242.21,0.8,0,0,0,10,29,0
1.284,0.096,236.39,5.4,0,0,17,7,31,17
2.838,0.336,239.88,11.8,0,2,18,10,5,20
1.348,0.078,239.45,5.6,0,2,17,10,30,19
0.314,0.0,244.57,1.4,0,0,0,12,5,0
1.454,0.09,242.95,6.0,0,0,19,1,28,19
1.448,0.062,240.56,7.4,12,0,1,5,19,13
0.258,0.0,241.22,1.0,0,0,1,4,12,1
2.368,0.502,238.9,10.0,1,2,30,7,13,33
1.46,0.214,238.72,6.0,0,1,18,3,27,19
0.346,0.126,242.82,1.4,0,0,0,2,14,0
1.748,0.0,236.62,7.4,0,0,18,6,8,18
0.438,0.164,242.2,2.0,0,1,0,2,13,1
0.158,0.0,241.41,0.8,0,0,0,6,30,0
0.292,0.246,241.44,1.6,0,0,1,9,24,1
0.35,0.116,240.55,1.4,0,0,0,3,2,0
1.636,0.0,240.2,6.8,0,0,18,10,11,18
0.314,0.188,239.18,1.4,0,2,1,9,21,3
1.304,0.0,241.41,5.4,0,0,1,4,21,1
1.524,0.07,239.96,6.4,2,0,18,6,27,20
0.304,0.0,236.5,1.2,0,0,0,5,18,0
0.174,0.152,241.12,0.8,0,0,0,8,16,0
2.572,0.262,238.41,11.6,32,0,1,3,14,33
0.268,0.0,247.8,1.2,0,0,0,3,23,0
0.386,0.056,244.38,1.6,0,0,1,10,25,1
3.348,0.278,240.5,14.0,0,9,19,11,18,28
0.08,0.0,239.24,0.2,0,0,0,8,29,0
1.522,0.216,243.17,6.2,0,0,19,12,31,19
0.934,0.046,245.71,3.8,0,0,0,1,10,0
1.688,0.116,240.99,7.0,0,2,0,10,11,2
1.324,0.064,243.64,5.4,0,0,18,12,21,18
0.172,0.142,237.2,0.8,0,0,1,8,7,1
1.978,0.0,240.81,8.2,0,0,19,5,16,19
0.156,0.0,240.78,0.6,0,0,1,8,5,1
0.746,0.124,239.55,3.4,0,0,0,11,6,0
0.22,0.136,242.23,1.0,0,2,0,7,21,2
1.428,0.112,243.85,5.8,0,0,19,2,2,19
2.764,0.446,238.21,11.6,39,0,0,6,27,39
2.392,0.0,236.6,10.0,0,0,0,4,9,0
0.298,0.2,243.36,1.4,0,2,1,6,25,3
1.232,0.132,242.28,5.0,0,0,1,9,10,1
0.932,0.152,243.95,3.8,0,0,1,10,7,1
0.226,0.118,237.31,1.0,0,0,0,7,26,0
1.194,0.228,239.42,5.0,0,0,1,7,14,1
2.202,0.186,236.73,9.2,1,1,17,1,28,19
0.338,0.232,238.99,1.6,0,0,1,5,23,1
0.508,0.0,238.22,2.6,0,0,0,3,30,0
0.472,0.284,236.2,2.4,0,2,0,5,31,2
0.272,0.078,242.33,1.6,0,0,0,9,8,0
0.372,0.192,241.56,1.6,0,1,0,10,8,1
1.444,0.246,238.85,6.0,1,1,18,6,18,20
0.224,0.108,236.12,1.0,0,0,0,7,22,0
0.264,0.0,243.07,1.0,0,0,1,4,11,1
0.32,0.0,244.33,1.2,0,0,0,11,24,0
0.146,0.0,241.24,0.6,0,0,0,7,20,0
1.042,0.094,236.9,4.6,0,1,0,9,18,1
0.402,0.34,239.54,2.2,0,1,0,7,4,1
0.468,0.0,245.77,2.2,0,0,0,2,7,0
4.066,0.0,238.61,17.0,37,0,18,2,9,55
6.136,0.5,232.39,26.4,37,1,17,2,10,55
0.964,0.106,235.79,4.4,0,0,14,7,25,14
1.41,0.092,237.16,5.8,1,0,18,10,14,19
0.814,0.164,236.3,3.6,0,0,0,1,17,0
2.224,0.31,241.23,9.4,0,1,14,10,8,15
0.952,0.29,242.84,4.0,0,0,11,9,6,11
0.444,0.068,242.4,1.8,0,0,1,5,20,1
1.552,0.188,242.28,6.4,0,0,18,5,20,18
1.698,0.276,242.06,7.0,0,1,18,6,19,19
0.7,0.192,245.17,2.8,0,0,1,7,25,1
1.35,0.0,240.71,5.6,0,0,18,12,1,18
0.444,0.206,239.17,2.0,0,1,1,5,11,2
0.548,0.562,239.69,3.2,0,0,0,6,25,0
1.87,0.16,241.78,7.8,1,0,19,5,8,20
1.398,0.106,240.36,5.8,0,0,19,3,18,19
0.294,0.112,245.91,1.2,0,0,0,1,22,0
1.678,0.352,244.61,7.0,0,1,19,12,3,20
1.668,0.32,243.13,7.0,0,2,18,4,14,20
1.466,0.112,237.96,6.2,0,0,18,11,22,18
0.382,0.208,241.5,1.8,0,0,0,3,21,0
1.104,0.254,237.98,5.0,1,1,0,5,29,2
0.232,0.144,239.98,1.0,0,0,1,7,10,1
1.91,0.118,238.21,8.0,1,0,0,4,20,1
0.58,0.058,240.44,2.8,0,0,0,11,14,0
1.384,0.064,241.44,5.8,0,0,0,3,17,0
1.42,0.092,243.73,5.8,0,1,19,2,24,20
0.278,0.0,246.03,1.2,0,0,0,4,7,0
0.344,0.196,241.31,1.6,0,0,0,6,1,0
0.28,0.102,241.08,1.2,0,1,1,8,31,2
0.274,0.0,241.58,1.2,0,0,0,5,5,0
0.324,0.102,237.13,1.4,0,0,0,6,5,0
0.452,0.166,242.45,2.0,0,0,0,11,21,0
3.854,0.074,237.75,16.4,0,0,0,2,8,0
0.348,0.0,241.9,1.4,0,0,0,10,7,0
0.392,0.226,238.34,1.8,0,2,0,10,27,2
1.328,0.204,235.75,5.6,0,0,17,7,31,17
1.992,0.06,239.39,8.4,1,0,0,11,25,1
1.328,0.05,242.61,5.4,0,0,0,6,16,0
1.624,0.348,242.65,6.8,0,1,1,4,17,2
0.208,0.134,242.31,1.0,0,0,0,8,25,0
1.386,0.096,240.87,5.6,0,1,19,3,6,20
0.234,0.09,241.16,1.0,0,0,1,8,11,1
0.678,0.112,244.59,2.8,0,1,1,1,19,2
1.724,0.0,240.74,7.0,0,0,19,6,30,19
1.67,0.468,240.16,7.2,0,1,12,6,30,13
0.284,0.072,238.31,1.2,0,0,0,2,28,0
1.346,0.0,233.42,5.8,0,0,17,5,15,17
0.352,0.146,243.22,1.6,0,0,0,5,2,0
1.926,0.088,238.76,8.2,0,0,17,1,25,17
0.364,0.198,238.01,1.6,0,1,0,4,12,1
4.604,0.198,235.9,19.4,37,0,18,1,19,55
0.378,0.098,243.25,1.6,0,0,1,7,18,1
1.312,0.104,238.88,5.4,0,0,17,4,19,17
1.414,0.05,231.2,6.0,0,0,17,5,28,17
0.33,0.062,247.33,1.4,0,0,0,3,24,0
1.77,0.076,239.33,7.4,1,0,18,5,4,19
0.238,0.146,244.55,1.0,0,0,0,8,6,0
3.786,0.466,227.98,16.6,35,1,16,6,3,52
0.218,0.0,244.11,0.8,0,0,0,3,19,0
0.278,0.0,243.45,1.2,0,0,1,3,17,1
0.338,0.114,244.24,1.4,0,0,0,3,31,0
0.22,0.112,241.94,1.0,0,0,1,8,24,1
2.544,0.074,237.84,10.6,2,0,18,9,28,20
0.434,0.22,240.77,2.0,0,0,1,3,2,1
0.254,0.0,243.06,1.0,0,0,0,2,9,0
0.232,0.134,242.54,1.0,0,0,1,7,14,1
1.534,0.116,237.51,6.4,0,2,17,10,2,19
2.056,0.264,238.39,8.6,0,0,0,12,11,0
0.26,0.0,242.72,1.2,0,0,0,11,4,0
0.248,0.128,243.07,1.2,0,0,1,7,30,1
1.584,0.29,237.57,6.8,1,2,18,3,8,21
1.856,0.0,237.51,7.8,0,0,18,4,11,18
1.344,0.23,240.97,5.6,0,0,18,8,15,18
0.158,0.0,243.56,0.8,0,0,0,9,4,0
0.322,0.106,242.57,1.4,0,1,1,3,15,2
0.13,0.0,242.15,0.6,0,0,1,7,14,1
0.304,0.104,240.32,1.4,0,0,0,3,29,0
1.382,0.214,239.25,5.8,0,1,18,9,11,19
0.412,0.078,239.4,2.0,0,0,1,5,15,1
0.23,0.0,243.14,0.8,0,0,1,10,26,1
0.36,0.258,241.27,1.8,0,1,0,8,25,1
1.766,0.048,242.57,7.2,0,0,18,3,19,18
0.424,0.206,237.19,2.0,0,0,1,7,24,1
1.5,0.098,244.07,6.0,0,0,1,12,27,1
0.312,0.086,234.59,1.4,0,0,0,5,24,0
0.25,0.256,240.78,1.4,0,0,0,8,22,0
0.32,0.068,244.88,1.2,0,0,1,4,29,1
0.27,0.208,239.03,1.4,0,1,0,9,23,1
4.578,0.246,237.56,19.4,45,1,17,1,24,63
0.396,0.226,245.02,1.8,0,0,0,3,21,0
0.158,0.0,239.28,0.6,0,0,0,6,27,0
0.342,0.216,234.41,1.6,0,2,0,5,8,2
2.878,0.198,239.77,12.2,0,1,18,10,11,19
0.68,0.236,242.38,3.0,0,1,0,1,3,1
1.834,0.272,235.35,7.8,1,1,0,2,22,2
0.124,0.0,241.17,0.6,0,0,0,4,18,0
0.73,0.306,243.71,3.2,0,1,0,9,20,1
1.852,0.208,238.52,7.8,0,1,19,9,4,20
1.824,0.0,238.22,7.6,0,0,0,1,29,0
1.7,0.296,242.97,7.0,0,2,19,2,16,21
0.856,0.118,241.34,3.6,0,0,13,7,16,13
0.408,0.216,241.93,1.8,0,0,0,8,11,0
1.452,0.068,240.92,6.0,1,0,1,9,22,2
0.578,0.32,239.32,2.8,0,0,1,5,2,1
0.438,0.25,235.34,2.0,0,0,0,7,16,0
0.324,0.226,239.64,1.6,0,0,0,9,5,0
0.614,0.098,243.4,2.6,0,0,1,6,6,1
0.176,0.0,244.03,0.8,0,0,1,7,6,1
0.322,0.108,247.29,1.4,0,0,1,1,7,1
1.698,0.244,238.73,7.2,0,5,17,1,19,22
0.326,0.096,243.1,1.4,0,0,1,5,22,1
1.366,0.0,238.47,5.6,0,0,1,7,4,1
0.376,0.122,246.59,1.6,1,0,0,2,13,1
6.824,0.062,228.36,29.8,35,0,16,1,12,51
3.27,0.304,236.26,14.0,1,0,17,3,21,18
0.286,0.074,238.4,1.2,0,0,0,2,24,0
1.49,0.128,239.46,6.2,0,0,18,10,13,18
4.54,0.242,238.17,19.6,14,0,18,4,12,32
0.386,0.108,238.39,1.8,0,0,1,5,1,1
0.084,0.0,243.71,0.2,0,0,1,8,23,1
0.524,0.408,248.15,2.6,0,1,1,1,28,2
0.756,0.052,243.57,3.0,0,0,1,11,21,1
1.256,0.104,235.15,5.2,0,1,17,7,25,18
3.716,0.12,239.93,15.4,0,37,19,5,12,56
1.466,0.078,240.56,6.0,0,0,18,3,20,18
1.602,0.0,234.94,6.8,0,0,16,5,17,16
1.348,0.222,238.19,5.6,0,0,18,8,15,18
2.76,0.266,240.71,11.8,0,41,1,9,9,42
1.87,0.088,240.39,7.8,0,0,18,12,2,18
0.384,0.246,241.78,1.8,0,1,0,3,3,1
1.13,0.338,239.62,4.8,2,0,0,3,30,2
1.314,0.048,240.57,5.4,0,0,18,10,16,18
0.31,0.21,237.2,1.6,0,0,1,7,23,1
0.928,0.052,235.82,3.8,0,0,0,5,1,0
1.176,0.36,242.68,5.0,0,1,1,7,9,2
0.238,0.136,243.88,1.0,0,2,1,7,26,3
0.162,0.0,241.03,0.6,0,0,1,7,13,1
0.432,0.222,241.13,2.0,0,0,1,7,24,1
1.414,0.094,237.67,6.0,0,0,0,2,13,0
1.484,0.076,238.52,6.2,0,4,0,11,4,4
1.71,0.0,239.54,7.0,2,0,18,3,30,20
0.392,0.11,242.15,1.8,0,0,0,4,5,0
0.322,0.074,241.44,1.4,0,0,0,9,14,0
0.732,0.204,241.72,3.4,0,0,10,7,24,10
0.406,0.246,244.46,1.8,0,1,0,3,31,1
1.308,0.0,238.58,5.4,0,0,18,11,12,18
1.248,0.562,240.06,5.6,0,1,13,8,16,14
0.264,0.082,244.54,1.2,0,0,1,6,5,1
0.31,0.206,238.11,1.6,0,0,0,7,27,0
0.69,0.17,242.55,2.8,0,1,1,10,18,2
0.352,0.182,239.98,1.6,0,1,0,3,21,1
0.656,0.104,235.76,3.0,0,0,0,7,27,0
0.394,0.216,244.45,1.8,0,0,0,3,20,0
0.138,0.0,237.81,0.6,0,0,0,8,6,0
2.536,0.254,240.56,11.0,5,0,19,2,6,24
2.134,0.0,246.59,8.6,0,0,18,12,22,18
0.224,0.0,248.57,0.8,0,0,0,3,12,0
2.556,0.066,234.39,11.0,0,0,0,1,24,0
1.7,0.222,238.07,7.2,0,0,13,8,15,13
0.94,0.124,239.18,4.0,0,2,1,6,30,3
0.164,0.076,240.33,0.8,0,0,0,8,30,0
0.248,0.0,247.17,1.0,0,0,0,12,27,0
3.192,0.07,236.1,13.4,51,0,0,8,28,51
0.326,0.0,244.51,1.4,0,0,1,10,8,1
1.384,0.048,242.91,5.6,0,0,18,1,19,18
1.534,0.278,238.51,6.6,0,1,17,8,26,18
1.154,0.534,239.39,5.6,0,0,1,10,12,1
1.632,0.0,239.59,6.8,0,0,18,2,2,18
1.632,0.134,241.5,6.8,0,1,18,7,5,19
1.256,0.0,242.14,5.2,0,0,18,8,20,18
0.338,0.088,233.22,1.6,0,0,0,4,24,0
0.214,0.0,243.01,0.8,0,0,0,3,6,0
0.264,0.122,241.89,1.2,0,0,1,8,11,1
2.88,0.13,237.14,12.0,0,0,17,4,14,17
0.176,0.0,243.0,0.8,0,0,1,8,11,1
0.25,0.076,246.14,1.0,0,0,0,12,7,0
0.942,0.178,239.23,4.8,0,0,1,7,13,1
0.254,0.076,240.45,1.2,0,0,1,9,13,1
0.346,0.11,240.08,1.6,0,0,1,9,3,1
0.782,0.202,241.51,3.2,0,2,0,10,20,2
1.434,0.156,244.42,5.8,0,0,18,1,25,18
0.214,0.07,241.43,0.8,0,1,0,9,24,1
1.29,0.08,238.43,5.4,0,0,1,5,15,1
1.57,0.076,235.11,6.6,0,0,1,10,19,1
0.324,0.146,244.58,1.4,0,1,0,3,26,1
2.776,0.08,240.62,13.0,0,0,0,11,28,0
0.312,0.242,242.02,1.6,0,1,0,7,7,1
1.424,0.052,244.76,5.8,0,0,19,12,20,19
2.766,0.138,241.07,11.4,1,0,18,4,9,19
0.338,0.184,240.63,1.6,0,0,0,7,4,0
1.244,0.06,242.13,5.2,1,0,0,3,10,1
2.734,0.054,239.46,11.4,0,0,18,2,18,18
1.792,0.146,237.67,7.6,2,0,18,8,28,20
0.49,0.084,244.74,2.2,0,2,0,1,31,2
1.504,0.0,247.27,6.0,0,0,19,2,18,19
1.254,0.08,240.61,5.2,0,0,0,11,12,0
0.222,0.0,243.39,1.0,0,0,0,10,23,0
2.256,0.198,237.42,9.4,0,1,17,3,31,18
0.138,0.0,239.94,0.6,0,0,1,7,9,1
0.23,0.0,240.71,1.0,0,0,0,11,14,0
1.2,0.094,239.32,5.0,0,0,0,10,30,0
3.322,0.172,239.93,13.8,1,0,18,3,22,19
0.882,0.136,243.47,3.6,0,0,13,7,3,13
0.364,0.094,243.97,1.6,0,1,0,4,16,1
2.006,0.388,239.8,8.4,0,0,19,7,7,19
0.078,0.0,237.56,0.2,0,0,0,8,8,0
0.388,0.0,240.49,1.6,0,1,0,10,15,1
0.256,0.0,245.02,1.0,0,0,1,5,8,1
1.418,0.116,242.0,5.8,0,0,19,6,24,19
1.366,0.058,238.44,5.8,0,0,18,6,3,18
